fuel-type,body-style,drive-wheels,wheel-base,curb-weight,num-of-cylinders,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price
gas,convertible,rwd,88.6,2548,four,130,111,5000,21,27,13495
gas,convertible,rwd,88.6,2548,four,130,111,5000,21,27,16500
gas,hatchback,rwd,94.5,2823,six,152,154,5000,19,26,16500
gas,sedan,fwd,99.8,2337,four,109,102,5500,24,30,13950
gas,sedan,4wd,99.4,2824,five,136,115,5500,18,22,17450
gas,sedan,fwd,99.8,2507,five,136,110,5500,19,25,15250
gas,sedan,fwd,105.8,2844,five,136,110,5500,19,25,17710
gas,wagon,fwd,105.8,2954,five,136,110,5500,19,25,18920
gas,sedan,fwd,105.8,3086,five,131,140,5500,17,20,23875
gas,hatchback,4wd,99.5,3053,five,131,160,5500,16,22,?
gas,sedan,rwd,101.2,2395,four,108,101,5800,23,29,16430
gas,sedan,rwd,101.2,2395,four,108,101,5800,23,29,16925
gas,sedan,rwd,101.2,2710,six,164,121,4250,21,28,20970
gas,sedan,rwd,101.2,2765,six,164,121,4250,21,28,21105
gas,sedan,rwd,103.5,3055,six,164,121,4250,20,25,24565
gas,sedan,rwd,103.5,3230,six,209,182,5400,16,22,30760
gas,sedan,rwd,103.5,3380,six,209,182,5400,16,22,41315
gas,sedan,rwd,110,3505,six,209,182,5400,15,20,36880
gas,hatchback,fwd,88.4,1488,three,61,48,5100,47,53,5151
gas,hatchback,fwd,94.5,1874,four,90,70,5400,38,43,6295
gas,sedan,fwd,94.5,1909,four,90,70,5400,38,43,6575
gas,hatchback,fwd,93.7,1876,four,90,68,5500,37,41,5572
gas,hatchback,fwd,93.7,1876,four,90,68,5500,31,38,6377
gas,hatchback,fwd,93.7,2128,four,98,102,5500,24,30,7957
gas,hatchback,fwd,93.7,1967,four,90,68,5500,31,38,6229
gas,sedan,fwd,93.7,1989,four,90,68,5500,31,38,6692
gas,sedan,fwd,93.7,1989,four,90,68,5500,31,38,7609
gas,sedan,fwd,93.7,2191,four,98,102,5500,24,30,8558
gas,wagon,fwd,103.3,2535,four,122,88,5000,24,30,8921
gas,hatchback,fwd,95.9,2811,four,156,145,5000,19,24,12964
gas,hatchback,fwd,86.6,1713,four,92,58,4800,49,54,6479
gas,hatchback,fwd,86.6,1819,four,92,76,6000,31,38,6855
gas,hatchback,fwd,93.7,1837,four,79,60,5500,38,42,5399
gas,hatchback,fwd,93.7,1940,four,92,76,6000,30,34,6529
gas,hatchback,fwd,93.7,1956,four,92,76,6000,30,34,7129
gas,sedan,fwd,96.5,2010,four,92,76,6000,30,34,7295
gas,wagon,fwd,96.5,2024,four,92,76,6000,30,34,7295
gas,hatchback,fwd,96.5,2236,four,110,86,5800,27,33,7895
gas,hatchback,fwd,96.5,2289,four,110,86,5800,27,33,9095
gas,sedan,fwd,96.5,2304,four,110,86,5800,27,33,8845
gas,sedan,fwd,96.5,2372,four,110,86,5800,27,33,10295
gas,sedan,fwd,96.5,2465,four,110,101,5800,24,28,12945
gas,sedan,fwd,96.5,2293,four,110,100,5500,25,31,10345
gas,sedan,rwd,94.3,2337,four,111,78,4800,24,29,6785
gas,sedan,fwd,94.5,1874,four,90,70,5400,38,43,?
gas,sedan,fwd,94.5,1909,four,90,70,5400,38,43,?
